id,igia_type,category,property,is_encrypted,is_mandatory,created_date,created_by,modified_date,modified_by
35,SFTP,SOURCE,doneFileName,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
36,SFTP,SOURCE,moveFailed,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
37,SFTP,SOURCE,move,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
38,SFTP,SOURCE,sortBy,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
39,SFTP,SOURCE,recursive,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
40,SFTP,SOURCE,antInclude,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
41,SFTP,SOURCE,antExclude,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
42,SFTP,SOURCE,initialDelay,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
43,SFTP,SOURCE,scheduler.cron,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
44,SFTP,DESTINATION,doneFileName,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
45,SFTP,DESTINATION,flatten,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
46,FILE,SOURCE,doneFileName,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
47,FILE,SOURCE,moveFailed,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
48,FILE,SOURCE,move,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
49,FILE,SOURCE,sortBy,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
50,FILE,SOURCE,recursive,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
51,FILE,SOURCE,antInclude,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
52,FILE,SOURCE,antExclude,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
53,FILE,SOURCE,initialDelay,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
54,FILE,SOURCE,scheduler.cron,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
55,FILE,DESTINATION,doneFileName,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
56,FILE,DESTINATION,flatten,false,false,2019-01-28T00:00:00.000Z,jhipster,2019-01-28T00:00:00.000Z,jhipster
