id,igia_type,category,property,is_encrypted,is_mandatory,created_date,created_by,modified_date,modified_by
5,MLLP,DESTINATION,hostname,false,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
6,MLLP,DESTINATION,port,false,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
7,FILE,SOURCE,directoryName,false,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
8,FILE,SOURCE,fileName,false,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
9,SFTP,SOURCE,hostname,false,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
10,SFTP,SOURCE,port,false,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
11,SFTP,SOURCE,username,true,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
12,SFTP,SOURCE,password,true,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
13,SFTP,SOURCE,directoryName,false,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
14,SFTP,SOURCE,fileName,false,false,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
15,SFTP,SOURCE,delay,false,false,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
16,SFTP,DESTINATION,hostname,false,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
17,SFTP,DESTINATION,port,false,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
18,SFTP,DESTINATION,username,true,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
19,SFTP,DESTINATION,password,true,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
20,SFTP,DESTINATION,directoryName,false,true,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
21,SFTP,DESTINATION,fileName,false,false,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
22,SFTP,DESTINATION,fileExist,false,false,2018-11-12T00:00:00.000Z,jhipster,2018-11-12T00:00:00.000Z,jhipster
